prediction_column,number_examples,average_csi_match,success_rate_80,model,source_file,file_type
baseline_prediction,1919,46.67,8.29,baseline,cultural_MIX_test_comparison_all.csv,multi_column
cultural_prediction,1919,53.32,19.96,cultural,cultural_MIX_test_comparison_all.csv,multi_column
prediction,1919,49.97,14.12,Fairseq_cultural_MIX_test_comparison_all,Fairseq_cultural_MIX_test_comparison_all.csv,separate_file
prediction,1919,45.64,6.62,cultural_MIX_test_baseline_comparison_all,cultural_MIX_test_baseline_comparison_all.csv,separate_file
